3/2/26,Testing and punchlist tracking,,,,,,,,
,,,,,,,,,
,Jason,,,,Trevor,Jason,,Trevor / Jason,Trevor
Page,Test Action,Expected Result,Actual Result,Pass / Fail?,Retest Ready?,Retest Result?,Pass / Fail?,Comments,Image
Search page,,,,,,,,,
,click 'back' button,return to default 'dashboard' page,retuns to 'dashboard' page,Pass,,,,,
,click 'portal' button,return to default 'dashboard' page,retuns to 'dashboard' page,pass,,,,,
,(Visual question),,,,,,,"There is a series of 'quick' links right below the search bar.  Directly below those quick links are the identical, more expansive' , 'CLINICAL TOOLS' links.  SUGGEST simplifying to only 1 set.",
,Click 'full 3...' button,Directs to Wellness Journey,Directs to wellness journey,Pass,,,,,
,click back button,Direcdts back to 'Search Page',does not return to search page,Fail,,,,it redirects to 'start a wellness session' page,
,Click 'interaction checker',Directs to interaction checker,,,,,,,
,No back button,Expect to return to 'search page',returns to 'Substance Library;,FAil,,,,,
,click 'substance library',expect to direct to 'search page',returns to 'search page',pass,,,,,
,click back button,expect to return to 'search page',returns to 'search page',pass,,,,,
,click 'clinical analytics',expect to go to 'clinical analytics' page,Directs to 'clinical intelligence page',TBD,,,,Q- is the diff between clinical 'analytics' and 'intelligence' wording necessary or okay?,
,click back button,expect to return to 'search page',returns to search page,Pass,,,,,
,,,,,,,,,
Search page - AFFINITY,Confirm data is accurate w/ Dr. Allen AND use cases,,,,,,,,
,,,,,,,,,
Global Benchmark Intelligence,Unclear casual user benefit?  Science?,,,,,,,Q- is this science level data?  Unclear if casual user will benefit. ,
,,,,,,,,,
Landmark Study Benchmarks,Unclear casual user benefit?  Science?,,,,,,,Q- is this science level data?  Unclear if casual user will benefit. ,
,,,,,,,,,
Quck links (bottom of page),click dashboard,redirect to dashboard,redirects to dashboard,Pass,,,,,
,click My Protocols,redirect to My protocols page,redirects to My Protocols page,pass,,,,,
,Back button,redirects back to search page,,,,,,,
,Click Analytics,redirects to 'Clinical intelligence' page,redirects to 'clinical intelligence' page,pass,,,,,
,click Membership Tiers,redirects to 'membership tiers' page,redirects to 'membership tiers' page,pass,,,,,
,Missing 'back button',,Dead end,Fail,,,,"No option to return to previous page, or ANY page in the portal.",
,click 'privacy and anon...' link,redirects to 'privacy and anonymity' page,redirects to 'privacy...' page,Pass,,,,,
,click terms of service link,direct to 'terms of service' page,no action,Fail,,,,Should display Terms and include 'back' button.,
