3/2/26,Testing and punchlist tracking,,,,,,,,
,,,,,,,,,
,Jason,,,,Trevor,Jason,,Trevor / Jason,Trevor
Page,Test Action,Expected Result,Actual Result,Pass / Fail?,Retest Ready?,Retest Result?,Pass / Fail?,Comments,Image
Default Screen - Dashboard,,,,,,,,,
,Click 'Network Report',(Confirm w/ Trevor),Q - Takes you to Clinical Intelligence Screen,TBD,,,,,
,Click 'log session+',(Confirm w/ Trevor),Q - opens the Wellness Journey Screen,TBD,,,,,
,Click cells w/ data (scroll down),(Confirm w/ Trevor),Q-Clicked 'safety' and it took me to the 'Molecular Pharmacology' screen.  ,TBD,,,,"Also, there is no 'back' button.  It dead ends.  Shouldn't it take user back to 'Dashboard'?",
,Click refresh link,Page and data refresh,Returns message 'Not Loaded',Fail,,,,,
Suggested next steps ,Click #1,Links to NEW wellness journey page,user directed to wellness journey start,pass,,,,"NOTE:  When hitting 'back' button, returns user to top of dashboard.  Expect it returns to the same scroll position in the page.",
,Click #2,Links to Clinical Intelligence Page,User directed to clinical intelligence,Pass,,,,"NOTE:  When hitting 'back' button, returns user to top of dashboard.  Expect it returns to the same scroll position in the page.",
,Click #3,Links to Follow-up session,Q - goes to Wellness Journey start,TBD,,,,"NOTE:  When hitting 'back' button, returns user to top of dashboard.  Expect it returns to the same scroll position in the page.",
Quick Actions,Click-Log Protocol,Links to NEW wellness journey page,user directed to wellness journey start,Fail,,,,NOTE:  Should 'quick actions' be at the top of the page? AND return to dashboard scroll spot,
,click-Analytics,Links to Clinical Intelligence Page,User directed to clinical intelligence,Fail,,,,NOTE:  Should 'quick actions' be at the top of the page? AND return to dashboard scroll spot,
,click-Interactions,Links to Interactions checker page,User directed to interactions page,Fail,,,,NOTE:  Should 'quick actions' be at the top of the page? AND return to dashboard scroll spot,
,Back button,Missing,missing,Fail,,,,"""  Also, there is no 'back' button, just a 'return to catalog'.  Shouldn't it take user back to 'Dashboard'?",
,click-Export Data,Links to export data page,User directed to export data page,Fail,,,,NOTE:  Should 'quick actions' be at the top of the page? AND return to dashboard scroll spot,
,Click-Benchmarks,Links to Clinic performance Radar,user directed to Clinic performance Radar,tbd,,,,"NOTE:  Should 'quick actions' be at the top of the page? AND return to dashboard scroll spot.  ""  Also, there is no 'back' button.  It dead ends.  Shouldn't it take user back to 'Dashboard'?",
Quick Links,Dashboard,return to top of dashboard page,"nothing happens, presumably because we are already on the Dashboard page",fail,,,,Suggest returning to top or remove 'dashboard' quick link as it does nothing right now.,
,My Protocols,Takes user to My Protocols page,My protocols page come up,Pass,,,,,
,Analytics,Takes user to Clinical Intelligence Page,Clinical intelligence page comes up,Pass,,,,,
,Membership Tiers,Takes user to 'choose your plan' page,User directed to 'choose your plan' page,Pass,,,,,
,Back button,,,Fail,,,,There is no navigation back once clicked.,
Compliance,Click Privacy,Takes user to privacy page,Privacy and Anonymity page appears,Pass,,,,,
,Back to portal link,Takes user back to Dashboard page,SIGNS USER OUT and directs to signin page,Fail,,,,Signs user out and sends to landing page,
,Terms of Service,Takes user to TErms of service page,No action,Fail,,,,Not sure where this is supposed to go?,
